Name,Brand,Description,Notes,Cleaned_Description
tihota eau de parfum,Indult," Rapa Nui for sugar, Tihota is, quite simply, The One. The One that will call to you every moment you're not smelling it, The One that you've only had hints of in other vanilla perfumes, The One that lasts and lasts, The One that has perfectly captured the essence of the pure nature of fresh vanilla beans and has harnessed it beyond your wildest dreams. It inspires obsessive devotion with its fragrance of smooth, vanilla bean pods dipped in honeyed water and left to steep. The result is the pure magic, an unbridled vanilla, sweet, raw and achingly desirable. Of course, Tihota isn't the first perfume to focus on the dark sweetness of vanilla... perfumery is filled with vanillas, but this smells like the dream of a master perfumer who was obsessed with vanilla and was finally given free rein to worship the note with no apologies. It is, without a sliver of a doubt, the finest pure vanilla we've ever had the honor of carrying, and it's so beautiful it pains us to put the bottle down."," Vanilla bean, musks",rapa nui sugar tihota quite simply one one call every moment not smell one hint vanilla perfumes one last last one perfectly capture essence pure nature fresh vanilla bean harness beyond wildest dream inspire obsessive devotion fragrance smooth vanilla bean pod dip honey water left steep result pure magic unbridled vanilla sweet raw achingly desirable course tihota not first perfume focus dark sweetness vanilla perfumery fill vanilla smell like dream master perfumer obsess vanilla finally give free rein worship note no apology without sliver doubt fine pure vanilla ever honor carry beautiful pain us put bottle
sola parfum,Di Ser," A tribute to the expanse of space extending from the sky to the flower and fruit laden earth below, Sola, the newest offering from DI SER and perfumer Yasuyuki Shinohara, showcases the natural flora of Hokkaido, Japan with locally sourced and sustainably harvested ingredients from DI SERs own gardens. Starting with aromatic notes of freshly harvested Hokkaido lavender, lemongrass and yuzu, the uplifting scent moves to a floral middle of Japanese rose, magnolia, geranium and jasmine before settling on a spiritual bed of frankincense and myrrh. The spiritual and meditative scent evokes an imagery of a peaceful universe in complete harmony with the bounties of nature and of peace and contentment with its generous offerings."," Lavender, Yuzu, Lemongrass, Magnolia, Geranium, Jasmine, Frankincense, Myrrh",tribute expanse space extend sky flower fruit laden earth sola new offering di ser perfumer yasuyuki shinohara showcase natural flora hokkaido japan locally source sustainably harvest ingredient di ser gardens start aromatic note freshly harvest hokkaido lavender lemongrass yuzu uplifting scent move floral middle japanese rise magnolia geranium jasmine settle spiritual bed frankincense myrrh spiritual meditative scent evoke imagery peaceful universe complete harmony bounty nature peace contentment generous offering
kagiroi parfum,Di Ser," An aromatic ode to the ancient beauty of Japan, Kagiroi represents the changes in the shade of the dawn sky over the mountains of Hokkaido, Japan. As the dawn sky transitions through shades of purple, yellow, orange and red, this scent that showcases many ingredients used for the first time in perfumery transitions from an aromatic slightly spicy top to an earthy and woody base, representing the ebb and flow in the stages of life. The perfume opens with notes of Japanese herbs and citruses, moves to a slightly floral spicy middle and settles into a deep woody base accentuated by the use of the Hinoki cedar that dot the mountain landscapes. A deeply personal and spiritual scent, Kagiroi is a scent of shifting aromatic complexities representing transitions in the journey of life.Parfum Edition: We are honored and delighted to offer the rare and precious Parfum edition of Kagiroi, which adds to the composition a precious specimen of Japanese agarwood, which adds rich, spiritual dimensionality and a truly impressive and long-lasting drydown to this already complex and wonderful scent."," Green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood",aromatic ode ancient beauty japan kagiroi represent change shade dawn sky mountain hokkaido japan dawn sky transition shade purple yellow orange red scent showcase many ingredient use first time perfumery transition aromatic slightly spicy top earthy woody base represent ebb flow stage life perfume open note japanese herbs citruses move slightly floral spicy middle settle deep woody base accentuate use hinoki cedar dot mountain landscape deeply personal spiritual scent kagiroi scent shift aromatic complexity represent transition journey lifeparfum edition honor delighted offer rare precious parfum edition kagiroi add composition precious speciman japanese agarwood add rich spiritual dimensionality truly impressive longlaste drydown already complex wonderful scent
velvet fantasy eau de parfum,Montale," Velvet Fantasy is a solar fragrance where citrus and velvety fruits mingle with the elegance of rose and the gourmand femininity of violet. Thereafter, incense unveils amber and white musk to create a bewitching and wild dance. What We Think A sweet and fruity fragrance with a rich long lasting warmth. Like a decadent dessert, it starts off bringing together the bright freshness of the tangerine with some sweet berry and apple notes and the creaminess of the toffee and vanilla. The fragrance smoothly transitions into a deliciously bold blend of amber, leather, sweet vanilla and creamy woods. Absolutely mouthwatering."," tangerine,  pink pepper,  black coffee,  leather,  violet,  jasmine,  lily of the valley,  heliotrope powder,  vanilla,  amber, sandalwood,  toffee,  musk,  oakmoss",velvet fantasy solar fragrance citrus velvety fruit mingle elegance rise gourmand femininity violet thereafter incense unveil amber white musk create bewitching wild dance think sweet fruity fragrance rich long last warmth like decadent dessert start bring together bright freshness tangerine sweet berry apple note creaminess toffee vanilla fragrance smoothly transition deliciously bold blend amber leather sweet vanilla creamy wood absolutely mouthwatere
a blvd. called sunset eau de parfum,A Lab on Fire," There's no way A Lab On Fire could relocate to Los Angeles and not pay tribute to L.A.'s most iconic Boulevard, home to the legendary neon-drenched rock stages of the Strip, the crashing waves of the Palisades, and everything in between. The result is A Blvd. Called Sunset, a bright, fresh, just the right amount of edgy journey across our wild and beautiful city. Bright, fresh bergamot sparkles in a smooth, salty, almond-inflected breeze, while a masculine leaning-floral blend of violet and jasmine combines with a leather that evokes the biker bars and metal clubs so famously captured in Ed Ruscha's seminal photo book. A smooth, intoxicating base of sandalwood, vanilla, and tonka goes down like a perfect mixed drink, comforting and sensual all at once. If you ever get a chance to take a trip down Sunset, there's nothing like it in the world. But the next best thing is a day spent wearing A Blvd. Called Sunset- a perfect tribute to the heart and soul of Los Angeles."," Bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka",no way lab fire could relocate los angeles not pay tribute las iconic boulevard home legendary neondrenched rock stage strip crash wave palisade everything result blvd call sunset bright fresh right amount edgy journey across wild beautiful city bright fresh bergamot sparkle smooth salty almondinflected breeze masculine leaningfloral blend violet jasmine combine leather evoke biker bar metal club famously capture ed ruschas seminal photo book smooth intoxicate base sandalwood vanilla tonka go like perfect mixed drink comfort sensual ever get chance take trip sunset nothing like world next good thing day spend wear blvd call sunset perfect tribute heart soul los angeles
freckled and beautiful eau de parfum,A Lab on Fire," There's no beauty quite like being young in the City of Angels- the wind in your hair, the sand between your toes, the endless possibilities for freedom and adventure in a sun-dappled, ocean-kissed paradise where the days never end and anything is possible. Freckled and Beautiful is a perfect tribute to the beauty of youth in L.A., a warm and hazy beachside floral with an unforgettable gourmand touch. It's a fragrance that highlights everything that makes A Lab On Fire Great- creamy, romantic orange blossom, the unmistakable tang of salty ocean air, and a mouthwatering and unique gourmand component- in this case, a warm milk and Petit-Beurre pastry accord that comforts and nourishes like the perfect after-school snack. Delicious and delightful, Freckled and Beautiful captures the unique jubilation of youth, and is a must-try for all lovers of A Lab on Fire's gift for floral gourmands."," Orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope",no beauty quite like young city angel wind hair sand toe endless possibility freedom adventure sundapple oceankisse paradise day never end anything possible freckle beautiful perfect tribute beauty youth la warm hazy beachside floral unforgettable gourmand touch fragrance highlight everything make lab fire great creamy romantic orange blossom unmistakable tang salty ocean air mouthwatere unique gourmand component case warm milk petitbeurre pastry accord comfort nourishes like perfect afterschool snack delicious delightful freckle beautiful capture unique jubilation youth musttry lover lab fire gift floral gourmand
exit the king eau de parfum,Etat Libre d'Orange," In these tumultuous times, a fragrance that celebrates destruction and dethronement might seem... risky. But Etat Libre was never about playing it safe, and Exit The King, like all their best releases, is risky in all the best ways, a you've-never-smelled-anything-quite-like-this fragrance that tears down the contours of a classical chypre to uncover a blindingly fresh, delightfully sexy new regime. An immaculate blend of contrasts: electrically overdosed florals, sparkling fresh soap foam, and the sharp green of tree moss, all set against a woodsy, milky blend of patchouli and sandalwood. It's both comfortably familiar, but thrillingly new- a modern, stylish floral that's both everyday perfect, and secret weapon good."," Timur JE, Soap Foam Accord (Aldehydes & Musk), Pink Pepper, Jasmine e-pure, Rose Superessence, Lily-of-the-valley Accord, Patchouli, Moss Absolute, Sandalwood Accord & Orcanox",tumultuous time fragrance celebrate destruction dethronement may seem risky etat libre never play safe exit king like good release risky good ways haveneversmelledanythingquitelikethis fragrance tear contours classical chypre uncover blindingly fresh delightfully sexy new regime immaculate blend contrast electrically overdose floral sparkle fresh soap foam sharp green tree moss set woodsy milky blend patchouli sandalwood comfortably familiar thrillingly new modern stylish floral everyday perfect secret weapon good
eshu extrait,PRIN," Eshu, the mischievous god of Yoruba legend, who translates between the gods and all the peoples of earth. Eshu, a groundbreaking 2000 Fall/Autumn collection from the late Alexander McQueen, which inspired Prin Lomros to create this scent. Eshu, the fragrance, a universally fluent dialogue between rich, earthy tobacco, fiery spices, sweet cognac, and touches of animalics, woods, and musk. The synthesis is surprisingly smooth, a powerful yet utterly wearable boozy tobacco with intense, sophisticated resin and spice tones, distinctive and unforgettable. An ingenious juxtaposition of traditional tribal elements and modern twists, Eshu is not to be missed."," Tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, atlas cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash",eshu mischievous god yoruba legend translate god people earth eshu groundbreake 2000 fall autumn collection late alexander mcqueen inspire prin lomros create scent eshu fragrance universally fluent dialogue rich earthy tobacco fiery spice sweet cognac touch animalics wood musk synthesis surprisingly smooth powerful yet utterly wearable boozy tobacco intense sophisticated resin spice tone distinctive unforgettable ingenious juxtaposition traditional tribal element modern twist eshu not miss
saringkarn extrait,PRIN," A taste of love and seduction. The value of love between lover, friend and family and humanity. A taste of happiness. Saringkarn, a tribute to the traditional and ancient Thai form of literary composition, is a tantalizing and unique scent somewhere between gourmand, floral, and oriental, where dark and sensual tones of oud, amber, leather, and tobacco gain an alluring, romantic sweetness from beeswax, dark chocolate, and a bouquet of exquisite roses. Sweet, boozy prune gives a cognac-like richness, while a darker smoke note preserves just the right amount of provocative danger. Like any true work of literary genius, it's up to you how to interpret it all."," Saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang ylang",taste love seduction value love lover friend family humanity taste happiness saringkarn tribute traditional ancient thai form literary composition tantalizing unique scent somewhere gourmand floral oriental dark sensual tone oud amber leather tobacco gain alluring romantic sweetness beeswax dark chocolate bouquet exquisite rose sweet boozy prune give cognaclike richness darker smoke note preserve right amount provocative danger like true work literary genius interpret
arsalan parfum,PRIN," The Persian legend of Arsalan is a story of a royal heir who rediscovers his hidden heritage and decides to reclaim his throne. And as would befit a fragrance based on hidden power, Arsalan is a gorgeous and richly textured floral spice scent that feels warm, lush, and romantic, but also reveals an intensely potent blend of some of the finest Southeast Asian ouds available. Beneath a bright, alluring bouquet of luscious, smooth champaca and jasmine, an intense and carnal rush of Cambodian oud and Thai Trat oud displays a multifaceted profile of sweet, warm, sensual oud tones. A bright, sparkling olibanum incense plays off of an exotic spice blend, uplifting and giving sophisticated complexity. Arsalan the prince needed a long journey before he was able to reveal his nobility, but Arsalan the fragrance is undeniably, wonderfully regal."," Cambodian oud, Trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk",persian legend arsalan story royal heir rediscover hide heritage decide reclaim throne would befit fragrance base hide power arsalan gorgeous richly texture floral spice scent feel warm lush romantic also reveal intensely potent blend fine southeast asian ouds available beneath bright alluring bouquet luscious smooth champaca jasmine intense carnal rush cambodian oud thai trat oud display multifacete profile sweet warm sensual oud tone bright sparkle olibanum incense play exotic spice blend uplifting give sophisticated complexity arsalan prince need long journey able reveal nobility arsalan fragrance undeniably wonderfully regal
